datetime,value
2023-10-12 01:00:00-04:00,0.0275
2023-10-12 01:15:00-04:00,0.0325
2023-10-12 01:30:00-04:00,0.0315
2023-10-12 01:45:00-04:00,0.0285
2023-10-12 02:00:00-04:00,0.0245
2023-10-12 02:15:00-04:00,0.036
2023-10-12 02:30:00-04:00,0.0285
2023-10-12 02:45:00-04:00,0.0435
2023-10-12 03:00:00-04:00,0.061
2023-10-12 03:15:00-04:00,0.031
2023-10-12 03:30:00-04:00,0.039
2023-10-12 03:45:00-04:00,0.0385
2023-10-12 04:00:00-04:00,0.036
2023-10-12 04:15:00-04:00,0.0285
2023-10-12 04:30:00-04:00,0.026
2023-10-12 04:45:00-04:00,0.0365
2023-10-12 05:00:00-04:00,0.032
2023-10-12 05:15:00-04:00,0.0295
2023-10-12 05:30:00-04:00,0.024
2023-10-12 05:45:00-04:00,0.037
2023-10-12 06:00:00-04:00,0.0275
2023-10-12 06:15:00-04:00,0.0315
2023-10-12 06:30:00-04:00,0.023
2023-10-12 06:45:00-04:00,0.0375
2023-10-12 07:00:00-04:00,0.0355
2023-10-12 07:15:00-04:00,0.0505
2023-10-12 07:30:00-04:00,0.0395
2023-10-12 07:45:00-04:00,0.052
2023-10-12 08:00:00-04:00,0.0385
2023-10-12 08:15:00-04:00,0.149
2023-10-12 08:30:00-04:00,0.2245
2023-10-12 08:45:00-04:00,0.0365
2023-10-12 09:00:00-04:00,0.029
2023-10-12 09:15:00-04:00,0.0345
2023-10-12 09:30:00-04:00,0.03
2023-10-12 09:45:00-04:00,0.034
2023-10-12 10:00:00-04:00,0.0525
2023-10-12 10:15:00-04:00,0.037
2023-10-12 10:30:00-04:00,0.0395
2023-10-12 10:45:00-04:00,0.045
2023-10-12 11:00:00-04:00,0.039
2023-10-12 11:15:00-04:00,0.0305
2023-10-12 11:30:00-04:00,0.038
2023-10-12 11:45:00-04:00,0.031
2023-10-12 12:00:00-04:00,0.038
2023-10-12 12:15:00-04:00,0.1025
2023-10-12 12:30:00-04:00,0.258
2023-10-12 12:45:00-04:00,0.101
2023-10-12 13:00:00-04:00,0.0625
2023-10-12 13:15:00-04:00,0.04
2023-10-12 13:30:00-04:00,0.039
2023-10-12 13:45:00-04:00,0.0365
2023-10-12 14:00:00-04:00,0.049
2023-10-12 14:15:00-04:00,0.057
2023-10-12 14:30:00-04:00,0.066
2023-10-12 14:45:00-04:00,0.1395
2023-10-12 15:00:00-04:00,0.0595
2023-10-12 15:15:00-04:00,0.057
2023-10-12 15:30:00-04:00,0.0815
2023-10-12 15:45:00-04:00,0.051
2023-10-12 16:00:00-04:00,0.0735
2023-10-12 16:15:00-04:00,0.071
2023-10-12 16:30:00-04:00,0.063
2023-10-12 16:45:00-04:00,0.0515
2023-10-12 17:00:00-04:00,0.0595
2023-10-12 17:15:00-04:00,0.0595
2023-10-12 17:30:00-04:00,0.0565
2023-10-12 17:45:00-04:00,0.065
2023-10-12 18:00:00-04:00,0.062
2023-10-12 18:15:00-04:00,0.0545
2023-10-12 18:30:00-04:00,0.071
2023-10-12 18:45:00-04:00,0.067
2023-10-12 19:00:00-04:00,0.066
2023-10-12 19:15:00-04:00,0.08
2023-10-12 19:30:00-04:00,0.0725
2023-10-12 19:45:00-04:00,0.1015
2023-10-12 20:00:00-04:00,0.159
2023-10-12 20:15:00-04:00,0.088
2023-10-12 20:30:00-04:00,0.0615
2023-10-12 20:45:00-04:00,0.0375
2023-10-12 21:00:00-04:00,0.0345
2023-10-12 21:15:00-04:00,0.0315
2023-10-12 21:30:00-04:00,0.031
2023-10-12 21:45:00-04:00,0.0315
2023-10-12 22:00:00-04:00,0.0265
2023-10-12 22:15:00-04:00,0.0365
2023-10-12 22:30:00-04:00,0.04
2023-10-12 22:45:00-04:00,0.0435
2023-10-12 23:00:00-04:00,0.0305
2023-10-12 23:15:00-04:00,0.041
2023-10-12 23:30:00-04:00,0.033
2023-10-12 23:45:00-04:00,0.0295
2023-10-13 00:00:00-04:00,0.0405
2023-10-13 00:15:00-04:00,0.028
2023-10-13 00:30:00-04:00,0.036
2023-10-13 00:45:00-04:00,0.028
2023-10-13 01:00:00-04:00,0.0315
2023-10-13 01:15:00-04:00,0.03
2023-10-13 01:30:00-04:00,0.0295
2023-10-13 01:45:00-04:00,0.031
2023-10-13 02:00:00-04:00,0.027
2023-10-13 02:15:00-04:00,0.032
2023-10-13 02:30:00-04:00,0.0275
2023-10-13 02:45:00-04:00,0.032
2023-10-13 03:00:00-04:00,0.0255
2023-10-13 03:15:00-04:00,0.0335
2023-10-13 03:30:00-04:00,0.0255
2023-10-13 03:45:00-04:00,0.043
2023-10-13 04:00:00-04:00,0.066
2023-10-13 04:15:00-04:00,0.0295
2023-10-13 04:30:00-04:00,0.0385
2023-10-13 04:45:00-04:00,0.0385
2023-10-13 05:00:00-04:00,0.0335
2023-10-13 05:15:00-04:00,0.0315
2023-10-13 05:30:00-04:00,0.0285
2023-10-13 05:45:00-04:00,0.0345
2023-10-13 06:00:00-04:00,0.0265
2023-10-13 06:15:00-04:00,0.0275
2023-10-13 06:30:00-04:00,0.034
2023-10-13 06:45:00-04:00,0.0255
2023-10-13 07:00:00-04:00,0.029
2023-10-13 07:15:00-04:00,0.03
2023-10-13 07:30:00-04:00,0.0305
2023-10-13 07:45:00-04:00,0.029
2023-10-13 08:00:00-04:00,0.026
2023-10-13 08:15:00-04:00,0.258
2023-10-13 08:30:00-04:00,0.153
2023-10-13 08:45:00-04:00,0.0515
2023-10-13 09:00:00-04:00,0.057
2023-10-13 09:15:00-04:00,0.0505
2023-10-13 09:30:00-04:00,0.0575
2023-10-13 09:45:00-04:00,0.0455
2023-10-13 10:00:00-04:00,0.052
2023-10-13 10:15:00-04:00,0.044
2023-10-13 10:30:00-04:00,0.042
2023-10-13 10:45:00-04:00,0.066
2023-10-13 11:00:00-04:00,0.042
2023-10-13 11:15:00-04:00,0.0545
2023-10-13 11:30:00-04:00,0.0335
2023-10-13 11:45:00-04:00,0.064
2023-10-13 12:00:00-04:00,0.0495
2023-10-13 12:15:00-04:00,0.2135
2023-10-13 12:30:00-04:00,0.088
2023-10-13 12:45:00-04:00,0.0505
2023-10-13 13:00:00-04:00,0.048
2023-10-13 13:15:00-04:00,0.208
2023-10-13 13:30:00-04:00,0.1445
2023-10-13 13:45:00-04:00,0.1075
2023-10-13 14:00:00-04:00,0.2395
2023-10-13 14:15:00-04:00,0.197
2023-10-13 14:30:00-04:00,0.1225
